Designator,Mid X,Mid Y,Rotation,Layer
C1,47.765,35.56,180.0,top
C10,43.32,5.08,180.0,top
C11,57.785,40.5,270.0,top
C12,54.085,25.4,0.0,top
C13,81.267,64.897,180.0,top
C14,83.792,64.897,0.0,top
C15,79.474,63.5,0.0,top
C16,64.389,24.13,180.0,top
C17,74.648,24.765,0.0,top
C18,70.485,43.955,90.0,top
C19,62.23,38.481,180.0,top
C2,42.17,24.13,180.0,top
C20,69.215,43.66,90.0,top
C21,76.807,34.29,0.0,top
C22,70.767,33.02,180.0,top
C23,77.188,39.624,0.0,top
C24,77.188,38.608,0.0,top
C25,76.68,52.578,0.0,top
C26,89.98,29.0,0.0,top
C27,2.299,17.78,0.0,top
C28,2.299,27.432,0.0,top
C29,5.321,17.78,180.0,top
C3,44.605,19.685,0.0,top
C30,5.321,27.432,180.0,top
C31,8.395,17.78,0.0,top
C32,8.395,27.432,0.0,top
C33,11.417,17.78,180.0,top
C34,11.417,27.432,180.0,top
C35,14.491,17.78,0.0,top
C36,14.491,27.432,0.0,top
C37,17.513,17.78,180.0,top
C38,17.513,27.432,180.0,top
C39,20.587,17.78,0.0,top
C4,50.01,40.64,180.0,top
C40,20.587,27.432,0.0,top
C41,23.609,17.78,180.0,top
C42,23.609,27.432,180.0,top
C43,2.299,50.038,0.0,top
C44,2.299,59.69,0.0,top
C45,5.321,50.038,180.0,top
C46,5.321,59.69,180.0,top
C47,8.395,50.038,0.0,top
C48,8.395,59.69,0.0,top
C49,11.417,50.038,180.0,top
C5,96.675,65.024,180.0,top
C50,11.417,59.69,180.0,top
C51,14.491,50.038,0.0,top
C52,14.491,59.69,0.0,top
C53,17.513,50.038,180.0,top
C54,17.513,59.69,180.0,top
C55,20.587,50.038,0.0,top
C56,20.587,59.69,0.0,top
C57,23.609,50.038,180.0,top
C58,23.609,59.69,180.0,top
C6,96.675,64.008,180.0,top
C7,42.975,35.56,0.0,top
C8,58.293,44.196,0.0,top
C9,46.355,9.84,90.0,top
D1,54.61,34.2645,90.0,top
D10,2.286,30.606,90.0,top
D12,5.3085,22.352,0.0,top
D13,5.334,30.606,90.0,top
D15,8.4075,22.352,180.0,top
D16,8.382,30.606,90.0,top
D18,11.4045,22.352,0.0,top
D19,11.43,30.606,90.0,top
D2,39.242,18.288,180.0,top
D21,14.5035,22.352,180.0,top
D22,14.478,30.606,90.0,top
D24,17.5005,22.352,0.0,top
D25,17.526,30.606,90.0,top
D27,20.5995,22.352,180.0,top
D28,20.574,30.606,90.0,top
D3,93.726,62.262,90.0,top
D30,23.5965,22.352,0.0,top
D31,23.622,30.606,90.0,top
D33,2.3115,54.61,180.0,top
D34,2.286,62.864,90.0,top
D36,5.3595,54.61,0.0,top
D37,5.334,62.864,90.0,top
